1,1,1700,391,156,337,1,-1,-1,-1
1,2,250,456,107,248,1,-1,-1,-1
1,3,1255,539,60,118,1,-1,-1,-1
1,4,1288,459,73,199,1,-1,-1,-1
1,5,120,504,93,239,1,-1,-1,-1
1,6,0,243,110,666,1,-1,-1,-1
1,7,1885,369,35,213,1,-1,-1,-1
2,1,1689,390,163,338,1,-1,-1,-1
2,2,262,456,96,250,1,-1,-1,-1
2,3,1257,538,59,120,1,-1,-1,-1
2,4,1291,461,71,197,1,-1,-1,-1
2,5,119,503,83,240,1,-1,-1,-1
2,6,0,247,114,662,1,-1,-1,-1
2,7,1884,370,35,208,1,-1,-1,-1
3,1,1686,389,163,340,1,-1,-1,-1
3,2,262,456,97,251,1,-1,-1,-1
3,3,1260,538,56,120,1,-1,-1,-1
3,4,1294,460,68,198,1,-1,-1,-1
3,5,116,503,87,240,1,-1,-1,-1
3,6,0,282,119,626,1,-1,-1,-1
3,7,1882,368,37,206,1,-1,-1,-1
4,1,1684,390,162,341,1,-1,-1,-1
4,2,262,456,97,251,1,-1,-1,-1
4,3,1263,539,54,121,1,-1,-1,-1
4,4,1296,460,67,199,1,-1,-1,-1
4,5,117,503,89,241,1,-1,-1,-1
4,6,0,257,125,652,1,-1,-1,-1
4,7,1880,358,39,219,1,-1,-1,-1
5,1,1686,389,159,344,1,-1,-1,-1
5,2,262,456,97,250,1,-1,-1,-1
5,3,1268,541,49,117,1,-1,-1,-1
5,4,1298,459,68,199,1,-1,-1,-1
5,5,121,504,85,241,1,-1,-1,-1
5,6,0,242,137,667,1,-1,-1,-1
5,7,1879,351,40,225,1,-1,-1,-1
6,1,1687,390,151,346,1,-1,-1,-1
6,2,264,457,95,249,1,-1,-1,-1
6,3,1272,540,43,118,1,-1,-1,-1
6,4,1299,458,69,200,1,-1,-1,-1
6,5,123,505,82,240,1,-1,-1,-1
6,6,0,238,138,671,1,-1,-1,-1
6,7,1877,348,42,232,1,-1,-1,-1
7,1,1688,390,148,348,1,-1,-1,-1
7,2,267,456,92,249,1,-1,-1,-1
7,3,1276,539,39,119,1,-1,-1,-1
7,4,1301,458,68,200,1,-1,-1,-1
7,5,122,509,81,236,1,-1,-1,-1
7,6,0,232,148,676,1,-1,-1,-1
7,7,1874,346,46,234,1,-1,-1,-1
8,1,1690,391,146,349,1,-1,-1,-1
8,2,269,456,90,248,1,-1,-1,-1
8,3,1277,539,38,117,1,-1,-1,-1
8,4,1301,458,71,201,1,-1,-1,-1
8,5,122,508,76,236,1,-1,-1,-1
8,6,0,228,160,681,1,-1,-1,-1
8,7,1873,349,47,237,1,-1,-1,-1
9,1,1689,391,148,350,1,-1,-1,-1
9,2,271,456,88,248,1,-1,-1,-1
9,3,1280,539,41,119,1,-1,-1,-1
9,4,1306,458,67,202,1,-1,-1,-1
9,5,122,506,76,238,1,-1,-1,-1
9,6,0,229,164,678,1,-1,-1,-1
9,7,1872,348,48,246,1,-1,-1,-1
10,1,1683,390,158,352,1,-1,-1,-1
10,2,273,455,86,245,1,-1,-1,-1
10,3,1282,539,41,120,1,-1,-1,-1
10,4,1307,459,79,201,1,-1,-1,-1
10,5,123,504,70,240,1,-1,-1,-1
10,6,0,230,172,678,1,-1,-1,-1
10,7,1869,339,51,331,1,-1,-1,-1
11,1,1680,390,163,354,1,-1,-1,-1
11,2,266,456,94,245,1,-1,-1,-1
11,3,1285,538,41,120,1,-1,-1,-1
11,4,1308,458,82,203,1,-1,-1,-1
11,5,123,498,70,246,1,-1,-1,-1
11,6,0,231,172,676,1,-1,-1,-1
11,7,1868,341,52,327,1,-1,-1,-1
12,1,1677,389,165,355,1,-1,-1,-1
12,2,269,455,91,247,1,-1,-1,-1
12,3,1287,538,40,121,1,-1,-1,-1
